,index,NO,song,group,lyrics
31,32,37,Butterfly,BTS, dont think of anything dont say anything not een a word just gie me a smile  i still cant beliee it all of this seems like a dream dont try to disappear  is it true is it true you you youre so beautiful that im scared  untrue untrue you you you  will you stay by my side will you promise me if i let go of your hand youll fly away and break im scared scared scared of that  will you stop time if this moment passes as though it hadnt happened im scared scared scared ill lose you  butterfly like a butterfly just like a butterfly bu butterfly  butterfly like a butterfly just like a butterfly bu butterfly  youre just like a butterfly from afar i steal glances if we touch hands will i lose you you shine in this pitch darkness that is the butterfly effect your light touches i forget the reality at once  its like a wind that gently strokes me its like a dust that gently drifts along youre there but for some reason i cant reach you stop you whos like a dream is a butterfly high to me  untrue untrue you you you  will you stay by my side will you promise me if i let go of your hand youll fly away and break im scared scared scared of that  will you stop time if this moment passes as though it hadnt happened im scared scared scared ill lose you  the small pieces guttered down darkly from my heart a barren noise i dont know if this is reality or a dream my kafka on the seaside dont go to those woods oer there my heart is still shattering on you i just wanted to aporize like this my loe that is foreer its all free for you baby  will you stay by my side will you promise me if i let go of your hand youll fly away and break im scared scared scared of that  will you stop time if this moment passes as though it hadnt happened im scared scared scared ill lose you  butterfly like a butterfly just like a butterfly bu butterfly  butterfly like a butterfly just like a butterfly bu butterfly
32,33,38,Like,BTS, wanna be loed dont wanna be fool wanna be cool wanna be loed same loe as you baby i want it  on eery picture you post up a guy ie neer seen before likes it who is he oh right im not your boyfriend anymore i naturally pressed your number but calling or texting you seems like i am losing if i dont say anything i dont think youll een care about me why isnt there a dislike button i dont like it becoming just one of the thirtysomething guys here and there guys are liking your picture commenting lets meet up and play why are you so pretty uh fk that all stupid bs youre not een mine anymore but why do i feel like youre being taken away haha youre doing so well without me i dont wanna see it so stop partying so hard i swallow in the curses that rose up in my throat and again today i click like shit  after we broke up you look better pretty woman yeah yeah yeah yeah annoyingly you still look good pretty woman oh pretty woman  dont wanna be fool wanna be cool wanna be loed same loe as you i know its oer dont wanna be fool wanna be cool wanna be loed same loe as you baby i want it  my friend clicked like on your photo and i see that your face looks much better you tag tag a photo that you took with your new boyfriend through that im backspaceing into the memories in that world eerything is stopped but why am i still hanging by that time do you think of me do you i contemplate should i click like or not it repeats many times your heart is like a guillotine it seerely cut me out but like an ogre i secretly go to you and i look at your daily life eery day each time i am toented oh shit do you think of me do you as i contemplate i decide not to click like   and  after we broke up you look better pretty woman yeah yeah yeah yeah annoyingly you still look good pretty woman oh pretty woman  dont wanna be fool wanna be cool wanna be loed same loe as you i know its oer dont wanna be fool wanna be cool wanna be loed same loe as you baby i want it  are you well these days i got curious and went to see and the likes are shining you who is liing well without me why did i think of you the only thing that finds me is pity for myself ill click on your face and leae im liing like this these days without you know you want it   and  after we broke up you look better pretty woman yeah yeah yeah yeah annoyingly you still look good pretty woman oh pretty woman  dont wanna be fool wanna be cool wanna be loed same loe as you i know its oer dont wanna be fool wanna be cool wanna be loed same loe as you baby i want it
33,34,39,Anpanman,BTS,waiting for you waiting for you anpanman  i do not have large biceps or abs i do not have a super car like batman the super cool heroes are my fantasy but the only thing i can gie is anpan i dreamed of being a hero like supean i ran with all my strength jump jump high in the air I am not afraid of little things like scraping my knee the innocent fantasies of my young days  I am not a superhero do not expect a lot i can be your hero these kinds of words im not sure if they are een possible really but i need to do this mom if i do not then who will do this you can call me say anpan  waiting for you rap line lemme hear ya say lemme hear ya say waiting for you rap lineturn it up turn it up turn it up i want to summon up a bit more strengthhttpsbtswikiacomwikisubunitsrapline rap linelemme hear ya say say lemme hear ya say i want to become your rap lineturn it up turn it up turn it up all together keep spinning spinning my anpan keep ballin ballin still bangtan when i open my eyes hero but still in a maze that young man young man young man still secretly secretly riddled with scars but ballin ballin still bangtan een if it hurts hero put your fears behind anpanman panman panman  I am a new generation anpanman I am a new superhero anpanman all i have is this one song lemme say all the bad men cop out  I am a new generation anpanman im a new superhero anpanman all i have is this one song lemme say all the bad men cop out  sometimes im afraid of all of this because now i hae too many things i loe some people say you too are now practically a has been you do not have the right just continue doing what you were doing but i still want to be a hero the only thing i can gie is red bean paste bread and the words youe worked hard but whoosh i will fly to you at once if you call please call me  waiting for you rap line lemme hear ya say lemme hear ya say waiting for you it up turn it up turn it up i want to summon up a bit more hear ya say say lemme hear ya say i want to become your it up turn it up turn it up all together keep spinning spinning my anpan keep ballin ballin still when i open my eyes hero but still in a maze that young man young man young man still secretly secretly riddled with scars but ballin ballin still if it hurts hero put your fears behind anpanman panman panman  honestly im afraid of falling oer of letting you down but still with all my strength i will always stay by your side  een though i will fall again een though i will make mistakes again een though i will be coered in mud beliee in me because im a hero yeah yeah all together keep spinning spinning my anpan keep ballin ballin still bangtan when i open my eyes hero but still in a maze that young man young man young man still secretly secretly riddled with scars but ballin ballin still bangtan een if it hurts hero put your fears behind anpanman panman panman  im a new generation anpanman im a new superhero anpanman all i hae is this one song lemme say all the bad men cop out  im a new generation anpanman im a new superhero anpanman all i have is this one song lemme say all the bad men cop out
34,35,40,Not_Today,BTS, all the underdogs in the world a day may come when we lose but it is not today today we fight  with  no not today some day the flowers will wither but no not today but todays not the day no no not today its too early to die too good day no no with  not today with  no no no not today  yeah we are extra but still part of this world part of this world extra plus ordinary thats not een that special that special today well neer die the light will pierce through the darkness you want a new world too oh baby yes i want it  if you cant fly run  today we will surie  if you cant run walk  today we will surie  if you cant walk crawl een if you hae to crawl gear up  point aim shoot  not not today not not today  hey crowtits eeryone hands up hey friends hands up hey if you trust me hands up   adlibs point aim shoot we wont die dont ask scream not not today dont kneel we wont cry hands up not not today hey not not today hey not not today hey not not today point aim shoot  too hot success doublin too hot somersaulting on the charts too high we on trampoline too high someone stop us   adlibs we couldnt fail because we belieed in each other what you say yeah say yeah not today yeah day yeah we wont die today yeah  trust me who is next to you  together we wont die  i trust you who is next to me  together we wont die  we beliee in the word together we beliee that were bangtan  point aim shoot  not not today not not today  hey crowtits eeryone hands up hey friends hands up hey if you trust me hands up   adlibs point aim shoot we wont die dont ask scream not not today dont kneel we wont cry hands up not not today hey not not today hey not not today hey not not today point aim shoot  throw it up throw it up  throw away the fear in your eyes  break it up break it up  break the glass ceiling that traps you  turn it up turn it up burn it up burn it up  till the day of ictory  fight dont kneel dont break down  thats do not today  not not today not not today  hey crowtits eeryone hands up hey friends hands up hey if you trust me hands up   adlibs point aim shoot we wont die dont ask scream not not today dont kneel we wont cry hands up not not today hey not not today hey not not today hey not not today point aim shoot
35,36,41,Black_Swan,BTS, do your thang do your thang with me now do your thang do your thang with me now whats my thang whats my thang tell me now tell me now yeah yeah yeah yeah  with  ayy the heart no longer races when hearing the music play tryna pull up seems like time has stopped oh that would be my first death i been always afraid of  if this can no longer resonate no longer make my heart ibrate then like this may be how i die my first death but what if that moments right now right now  heartbeat pulsing slow in my ears bump bump bump try to flee but back into the maw jump jump jump  no song affects me anymore crying out a silent cry  and  with  ocean with all light silenced shut yeah yeah yeah my wandering feet held in a rut yeah yeah yeah eery noise and sounds been cut yeah yeah yeah killin me now killin me now do you hear me yeah sinking slowly like in a trance nah nah nah struggle but its all ocean floor nah nah eery moment becomes eternity yeah yeah yeah film it now film it now do you hear me yeah  do your thang do your thang with me now do your thang do your thang with me now whats my thang whats my thang tell me now tell me now yeah yeah yeah yeah  deeper yeah i think im goin deeper i keep losing focus no just let go of me let my own feet carry me ill go in myself in the deepest depths i saw myself  slowly i open my eyes im in my workroom its my studio the waes go darkly by in a throe but ill neer get dragged away again inside i saw myself myself  heartbeat racing in my ears bump bump bump eyes wide open into my forest jump jump jump  nothing can deour me i shout out with ferocity  with  ocean with all light silenced shut  yeah yeah yeah my wandering feet held in a rut  yeah yeah yeah eery noise and sounds been cut  yeah yeah yeah  and  with  killin me now killin me now  with   and  do you hear me yeah  with  sinking slowly like in a trance  nah nah nah struggle but its all ocean floor  nah nah eery moment becomes eternity yeah yeah yeah  and  with  film it now film it now do you hear me yeah  do your thang do your thang with me now do your thang do your thang with me now whats my thang whats my thang tell me now tell me now yeah yeah yeah yeah
36,37,42,Best_Of_Me,BTS, when you say that you loe me feels like im walking across the sky tell me about foreer just one more time  when you say that you loe me i just need those words that youll neer change just one more time  youre eerything in this world to me harder so it hurts hold me tight  we shared something and you cant make it nothing i hope you dont forget youre my  day by day summer winter  een if you dont know  you got the best of me you got the best of me  so please just dont leae me  you got the best of me  i haent seen the end to myself either but if theres such a thing wouldnt it be you i wanted to be a wa wae but why didnt i know youre the ocean what do i do im speaking in your language im breathing in your breath ill be you you hold me im kissing your sword  so take my hand right now i cant beliee myself words i said thousands of times only to myself dont leae me you got the best of me you got the best of me whether this is a dream or reality its not important just the fact that youre by my side thanks  day by day summer winter  een if you dont know  you got the best of me you got the best of me  so please just dont leae me  you got the best of me youre my salation youre my shield i just need you  you got the best of me  i need you  so please just dont leae me  you got the best of me  t was raining it was snowing but all unhappiness stopped you brought heaen to me  dont speak so easily because without you theres no me youre the best of me the best of me  just gie me assurance thats all i want een if there are no rules laws of loe do exist who got the best of me who got the best of me no one knows but i know me my greatest master is you  and  you got the best of me you got the best of me  so please just dont leae me  and  you got the best of me  youre my salation youre my shield i just need you  and  you got the best of me  i need you  so please just dont leae me  you got the best of me  when you say that you loe me feels like im walking across the sky tell me about foreer just one more time  when you say that you loe me i just need those words that youll neer change just one more time
37,38,43,Filter,BTS,that uninterested face of yours the bored tip of your toes please look at me now putu2005youru2005phone down dontu2005een think of turning your headu2005away let me know your type you can pick and choose me yeah oh i coer your eyes with my hands oh get closer to the secret ill take you to a whole new world yeah open your eyes now go mix the in the pallete pick your filter which me do you want the one to change your world im your filter oerlay me in your heart okay can you feel it now is it still not enough yes girl you hae your chance i can be your genie how bout aladdin ill be anything you can pick and choose me yeah oh i will embrace you like in your dreams oh its a coert spec for you eeryday ill be new its not fun for something to stay the same all the time mix the in the pallete pick your filter which me do you want to change your world im your filter oerlay me in your heart look at me who has suddenly turned into a child the more i look the crazier i get on how cute it is oercoming different tastes and standards youll be wanting only me yeah because you are the one who made me im a brand new filter that youe neer seen before leae you to me to see more thrilling things pick your filter contain only me pick your filter contain only me im your filter leae you to me
38,39,45,Awake,BTS,its not that i beliee it but that i want to try holding out because this is all that i can do i want to remain i want to dream more een so what im saying is that its time to leae yeah its my truth its my truth i will be coered with wounds all oer but its my fate its my fate still i want to struggle and fight maybe i i can neer fly i cant fly like the flower petals oer there or as though i hae wings maybe i i cant touch the sky still i want to stretch my hand out i want to run just a bit more im just walking and walking among this darkness my happy times asked me this question you are you really okay it asked me oh no i replied no im so afraid still i hold the 6 flowers tightly in my hands i im just walking i said oh no but its my fate its my fate still i want to struggle and fight maybe i i can neer fly i cant fly like the flower petals oer there or as though i hae wings maybe i i cant touch the sky still i want to stretch my hand out i want to run just a bit more wide awake wide awake wide awake dont cry wide awake wide awake wide awake no lie wide awake wide awake wide awake dont cry wide awake wide awake wide awake no lie maybe i i can neer fly i cant fly like the flower petals oer there or as though i hae wings maybe i i cant touch the sky still i want to stretch my hand out i want to run just a bit more
39,40,46,Epilogue:_Young_Forever,BTS, the curtain falls and im out of breath i get mixed feelings as i breathe out did i make any mistakes today how did the audience seem im happy with who ie become that i can make someone scream with joy still excited from the perfoance i stand on the middle of the empty stage still hot  i stand on the middle of the hot empty stage and suddenly i feel so afraid of the oid these mixed feelings with my life on the line i pretend to be careless this isnt the first time i better get used to it i try to hide it but i cant when the heat of the show cools down i leae the empty seats behind  trying to comfort myself i tell myself the world cant be perfect i start to let myself go the thundering applause i cant own it foreer i tell myself so shameless raise your oice higher een if the attention isnt foreer ill keep singing i want to stay this way for life i want to stay young foreer  aah foreer we are young under the flower petals raining down  i run so lost in this maze  foreer we are young  een when i fall and hurt myself i keep running toward my dream  foreer eer eer eer  dreams hopes forward forward  foreer eer eer eer we are young  foreer eer eer eer dreams hopes forward forward  foreer eer eer eer we are young  foreer we are young  under the flower petals raining down i run so lost in this maze  foreer we are young  een when i fall and hurt myself i keep running toward my dream bts foreer we are young under the flower petals raining down i run so lost in this maze foreer we are young een when i fall and hurt myself i keep running toward my dream
40,41,47,Pied_Piper,BTS, its bad so its better you know on the inside you cant stop it now you cant stop so be honest with me  stop now stop watching and study for your test your parents and director hate me ideo clips pictures tweets  app bon oyage i know you cant help what you like but stop interpret the music ideo later you hae so many pictures of me in your room anyway its not just one hour its a whole year thatll disappear so this song is an award im giing to you good  youre not being punished  come here im your paradise  cant close your eyes  cant close your eyes  you can throw a fit but its no use  dont reject me  just close your eyes tune your ears  follow the sound of the pipe follow this song its a bit dangerous but im so sweet  im here to sae you im here to ruin you you called me see im so sweet follow the sound of the pipe im takin oer you im takin oer you  you know it has already started the moment you hear that sound  maybe im a bit dangerous like the pied piper im testing you like the fruit from the tree of good and eil  my pipe awakens eerything that sound burns you up een more youre pulled by it you react im endlessly blowing im your guilty pleasure you cant escape neer  youre not being punished  come here im your paradise  cant close your eyes  cant close your eyes  you can throw a fit but its no use  dont reject me  just close your eyes tune your ears  follow the sound of the pipe follow this song its a bit dangerous but im so sweet  im here to sae you im here to ruin you you called me see im so sweet  yeah im a bit dangerous i cant een handle myself dont worry my hands theyre only wa for you  if im ruining you right now please forgie me because you cant lie without me because you know all of this  im takin oer you im takin oer you
41,42,48,Telepathy,BTS,eery time during the same day i am the happiest when i meet you eery time een in a different eeryday life youre the most special person to me eerythings fine there wont be any pain lately i dont know i feel like im floating thanks a lot to time im writing a song like this this is a song for you yeah song yeah song now lets go to the blue sea that blue sea we used to play with worries are useless for a while let it go for a while lets hae fun together remembering together a small island in the middle of the blue sea een though were far away now our hearts are still the same een if youre not by my side yeah een if im not by your side yeah you know were together eery time during the same day i am the happiest when i meet you eery time een in a different eeryday life youre the most special person to me i wake up in the morning like wild grass i check you like a mirror youre the only one in my eyes another heay bruise mirfak i stroll around and think about this star allowing our distance oh can i be your bibilly hills like you did the same to me baby too fast is a little dangerous too slow is a little boring not too fast or not een too slow lets go at our own speed this is a pretty long fun roller coaster een though were far away now our hearts are still the same een if youre not by my side yeah een if im not by your side yeah you know were together eery time during the same day i am the happiest when i meet you eery time een in a different eeryday life youre the most special person to me
42,43,50,Paradise,BTS,marathon marathon lifes long so take it slow 42195 the end is filled with a paradise of dreams  but the real world is different from whats promised we need to run we need to step on it if you shoot a flare you dont hae a destination theres no sceneries at all until your breath comes up to your chin with  you need to you need to  its alright to stop theres no need to run without een knowing the reason  its alright to not hae a dream if you hae moments where you feel happiness for a while  its alright to stop now we dont run without een knowing the destination  its alright to not hae a dream all the breaths you breathe is already in paradise  we borrow dreams from others like a debt we learn that we need to become great like a light your dream is actually a burden if haing a future is a dream then what is the dream you had last night in your bed its alright if the name of the dream is different be it buying a laptop next month or just eating and sleeping not doing anything at all and still haing a lot of money who says a dream must be something grand just become anybody we desere a life whateer big or small you are you after all  but the real world is different from whats promised we need to run we need to step on it if you shoot a flare you dont hae a destination theres no sceneries at all until your breath comes up to your chin with  you need to you need to  its alright to stop theres no need to run without een knowing the reason  its alright to not hae a dream if you hae moments where you feel happiness for a while  its alright to stop now we dont run without een knowing the destination  its alright to not hae a dream all the breaths you breathe is already in paradise  i dont hae a dream to hae a dream is sometimes scary to just lie like this to surie like this is a small dream to me to hae a dream to grasp a dream to breathe is sometimes too much to handle saying this persons liing like this that persons liing like that the worlds swearing at me  yeah the world doesnt hae the right to swear what is the way to dream a dream since they neer taught us that in the made up dream sleeptalk of tears waking up from a nightmare for you now lets try to smile eeryday in that paradise  its alright to stop now we dont run without een knowing the destination  its alright to not hae a dream all the breaths you breathe is already in paradise  stop runnin for nothin my friend now stop that foolish race stop runnin for nothin my friend all the breaths you breathe is already in paradise stop runnin for nothin my friend you dont need something like a dream that eeryone dreams stop runnin for nothin my friend eery language that makes you is already in paradise
43,44,1,SNEAKERS,ITZY,yeah yeah lets go like what feeling of freedom i like that hesitation already done done its a sin to be prejudice thats not my fault woah told ya i dont care at all ill go my own way i dont need order dont need no guidance im makin my way im on my way up run to the top wheneer straight up im originally not afraid of anything its okay call me trouble or you can call me weirdo i want to be me while being proud attitude as if ill hae eerything put my sneakers on one two ready get set go put my sneakers on put em up put em up put my sneakers on one two ready get set go lets go far away ya ya put em up put em up the moment i waited for stand up stand up heart beating fast dont stop dont stop get loose burn it up now my youth the party aint started i didnt een start theres a word im stuck onto my best is yet to come its okay call me trouble or you can call me weirdo i want to be me while being proud attitude as if ill hae eerything put my sneakers on one two ready get set go put my sneakers on put em up put em up put my sneakers on one two ready get set go lets go far away ya ya put em up put em up i want to freely run other peoples gaze dont care now i dont know until where we can go but for now start right now yeah alright dont stop to the top dont worry about it cuz you know i put my sneakers on its okay call me trouble or you can call me weirdo i want to be me while being proud attitude as if ill hae eerything you better put your sneakers on put my sneakers on one two ready get set go put my sneakers on put em up put em up put my sneakers on one two ready get set go lets go far away ya ya put em up put em up i want to freely run other peoples gaze dont care now i dont know until where we can go but for now start right now yeah alright dont stop to the top lets walk together put em up put em up
44,45,2,DALLA_DALLA,ITZY,may contain some mistakes translation itzy announces the emergence of the music scene with the title song dalla dalla of the first digital single album itz different that effectiely expresses the groups identity and the title song dalla dalla is a new fusion grooe track that breaks the existing kpop foat by creating a unique combination of fie members with special personalities edm house hiphop and other genres hae been taken into one song are contents that respect and loe me at the center of the world and aim at the tastes of the personalities of this era in search of the reason and meaning of existence it has a sound and a message that satisfies the tin crush and girl crush chas expected by the public poem tabber  kor poem ddaddaladdaladdala look at me and they tell me 외모만 보고 내가 날라리 같대요 what 신경 안 써 im sorry i dont care dont care really dont care because 따위에 목매지 않아 세상엔 재밌는 게 더 많아 말해 철들려면 멀었대 sorry sorry 생각 없어요 nope 하고 매력은 없는 애들과 난 달라 달라 달라 ddala 기준에 날 맞추려 하지 마 난 지금 내가 좋아 나는 나야 ddala ddala loe myself 뭔가 달라 달라 yeah loe myself 뭔가 달라 달라 yeah 너랑 달라 달라 yeah bad im sorry im bad im just the way i am 신경 쓰고 살긴 아까워 하고 싶은 일 하기도 바빠 life 내 맘대로 살 거야 말리지 마 특별하니까 yeah 시선 중요치 않아 내 style이 좋아 그게 나니까 말해 내가 너무 당돌하대 sorry sorry 생각 없어요 nope 하고 매력은 없는 애들과 난 달라 달라 달라 ddala 기준에 날 맞추려 하지 마 난 지금 내가 좋아 나는 나야 ddala ddala dont care what people say 나는 내가 알아 talking to myself 기죽지 마 절대로 들고 니 꿈을 쫓아 just keep on dreaming your chin up we got your back keep your head up just keep on dreaming keep your chin up we got your back keep your head up just keep on dreaming 하고 매력은 없는 애들과 난 달라 달라 달라 ddala 기준에 날 맞추려 하지 마 난 지금 내가 좋아 나는 나야 ddala ddala loe myself 뭔가 달라 달라 yeah loe myself 뭔가 달라 달라 yeah 너랑 달라 달라 yeah poem rom poemcolorlyricsitzyddaddaladdaladdala ddaddaladdaladdala look at me and they tell me wemoman bogo naega nallari gattaeyo what shingyeong an sseo im sorry i dont care dont care really dont care because ttawie mongmaeji ana sesangen jaeminneun ge deo mana malhae cheoldeullyeomyeon meoreottae sorry sorry saenggak eopseoyo nope hago maeryeogeun eomneun aedeulgwa nan dalla dalla dalla ddala gijune nal matchuryeo haji ma nan jigeum naega joa naneun naya ddala ddala loe myself mweonga dalla dalla yeah loe myself mweonga dalla dalla yeah neorang dalla dalla yeah bad im sorry im bad im just the way i am shingyeong sseugo salgin akkaweo hago shipeun il hagido bappa life nae mamdaero sal geoya malliji ma teukbyeolhanikka yeah shiseon jungyochi ana nae stylei joa geuge nanikka malhae naega neomu dangdolhadae sorry sorry saenggak eopseoyo nope hago maeryeogeun eomneun aedeulgwa nan dalla dalla dalla ddala gijune nal matchuryeo haji ma nan jigeum naega joa naneun naya ddala ddala dont care what people say naneun naega ara talking to myself gijukji ma jeolttaero deulgo ni kkumeul jjocha just keep on dreaming your chin up we got your back keep your head up just keep on dreaming keep your chin up we got your back keep your head up just keep on dreaming hago maeryeogeun eomneun aedeulgwa nan dalla dalla dalla ddala gijune nal matchuryeo haji ma nan jigeum naega joa naneun naya ddala ddala loe myself mweonga dalla dalla yeah loe myself mweonga dalla dalla yeah neorang dalla dalla yeah poem eng poemcolorlyricsitzyddaddaladdaladdala ddaddaladdaladdala look at me and they tell me they look at my looks alone and say im a punk what i dont care im sorry i dont care dont care really dont care be be be because dont care for loe theres much more fun out there in the world tell me i still hae a long way to become mature sorry sorry dont want to be mature nope pretty but not attractie at all im different from the kids different measure me by your standards alone i loe being myself im nobody else different loe myself different about me yeah loe myself different about me yeah different from you yeah bad im sorry im bad im just the way i am such a little time to care about what others think im busy doing what i want to do life i will lie my own way dont you care im special yeah dont care about what others think i like my style cause thats me tell me im daring sorry sorry dont want to change nope pretty but not attractie at all im different from the kids different measure me by your standards alone i loe being myself im nobody else yricsyunaim different care what people say i know myself talking to myself keep your head up your head up and go after your dreams just keep on dreaming your chin up we got your back keep your head up just keep on dreaming keep your chin up we got your back keep your head up just keep on dreaming pretty but not attractie at all im different from the kids different measure me by your standards alone i loe being myself im nobody else different loe myself different about me yeah loe myself different about me yeah different from you yeah
45,46,3,WANNABE,ITZY,the nagging stop it i got this whateer i be its up to me so please i do what i wanna can you just leae me alone whether i lie a noal life or not its me who lies this cause its my life im so bad bad id rather be selfish hundred times better than pretending to be nice and getting hurt im just on my way dont interfere no no i might just say it mind your own business no matter what they say im me i just want to be me i wanna be me me me i dont hae to be anything because im perfect when im myself i wanna be me me me lia all i dont wanna be somebody lia all just wanna be me be me i wanna be me me me yj all i dont wanna be somebody yj all just wanna be me be me action errbody errbody errbody teachin me all eyes on me do this do that all are dishing out something dont touch me ah yeah yeah yeah yeah yeah its me who takes care of myself imma do my thang just do your thang cuz im the one amp only people loe to talk about others la la la why do you care so much about others lies la la la hey im sorry but could you leae me alone its none of your business i do my own business no matter what they say im me i just want to be me i wanna be me me me i dont hae to be anything because im perfect when im myself i wanna be me me me no matter if you loe me or hate me i wanna be me one and only me if you feel me turn this beat up i wanna be me me me no matter what they say im me i just want to be me i wanna be me me me i dont hae to be anything because im perfect when im myself i wanna be me me me lia all i dont wanna be somebody lia all just wanna be me be me i wanna be me me me yj all i dont wanna be somebody yj all just wanna be me be me i wanna be me me me
46,47,4,LOCO,ITZY,loco shall i say that i understand what it means to go crazy im gettin loco loco oh gosh this is like sweet poison im gettin loco loco in a room with no exit its coered with mirrors that is you to simplify what im saying i feel like i was born to loe ya like a kitty looking for an oasis im circling around you my eyes that are blinded for you are yellow yj rj turn on my dark heart with your hand its too late want you so bad i want you now i dont know im already blind i wanna go till the end you make me go half crazy you got me like craycraycrazy in loe who are you to make me crazily go up amp down you got me like craycraycrazy in loe im getting outta control im gettin loco loco im gettin loco loco what do you want from me een if i gie you all of my crazy heart im ok een if i go to heaen and back one day you push me towards the edge of a cliff so dangerous so so so dangerous uhoh een if you ruin me make it so that i hae no choice but to beliee you like a kitty looking for an oasis im eyeing the spot next to you ie forgotten all about a break i wanna go till the end you make me go half crazy you got me like craycraycrazy in loe who are you to make me crazily go up amp down you got me like craycraycrazy in loe im getting outta control im gettin locolococo im gettin locolococoohohoh im gettin locolococo im gettin locolococoohohoh you make me go half crazy you got me like craycraycrazy in loe who are you to make me crazily go up amp down you got me like craycraycrazy in loe im getting outta control im gettin loco loco im gettin loco loco
47,48,5,In_the_morning,ITZY,shhhhhhh guess who loes you its me me do i show you no its a no its not the time yet closer a little bit closer and then i do a 180 imma steal it i steal your heart you are gonna loe me im the type who shows the teeth when its time een when we make an eye contact it doesnt shake me no if its a sin to loe you the culprit is who youll neer know baby youre confused confused youre so confused youre gonna be mine at the end you are nows finally finally the time to choose its the nighttime already im the mafia ma ma ma ma mafia ya ya we do it like a mafia ring ding ding ding ding ding im the mafia ma ma ma ma mafia ya ya we do it like a mafia its daytime last night you dont een know who is it the mafia the day is bright but you dont een know who is it the mafia acts better than an actress a fox that tricks the wolf you wont see a clue but i hae it all planned out go stop hesitating time for the operation stealing stealing stealing your heart like a caper moie i dont show poker face occupy your head place hurry up baby catch me if you can haha baby youre confused confused youre so confused youre gonna be mine at the end you are nows finally finally the time to choose its the nighttime already im the mafia ma ma ma ma mafia ya ya we do it like a mafia ring ding ding ding ding ding im the mafia ma ma ma ma mafia ya ya we do it like a mafia who is it the mafia its deep in the last night baby when the night passes youll hae only me next to you the ineitable morning comes hahaha im the mafia ma ma ma ma mafia ya ya we do it like a mafia ring ding ding ding ding ding im the mafia ma ma ma ma mafia ya ya we do it like a mafia its daytime last night you dont een know who is it the mafia the day is bright but you dont een know who is it the mafia
48,49,6,Boys_Like_You,ITZY,ha why you calling me up saying sorry again already told you were done what didnt you get dont forget youre the one that tried to get with my friends the end the end the end the end well you must be going crazy thinking ill be back im sorry cause youre crying like a baby but do i look like your mommy take a look into that mirror if u wonder why u lost me gotta sit down and shut up you did it to yourself boy gonna diss me boy im so pissed boy gonna miss me boy you are dismissed cuz i dont fall for boys like you i dont fall for i dont fall for boys like you i dont fall for boy wanna date me boy outta date yeah boy wanna what no boy outta my way cuz i dont fall for boys like you i dont fall for i dont fall for boys like you i dont fall for i see through sweet little lies and eery excuse when you start eery fight the blame is on you one red flag and im gone already onto the next the next the next well you must be going crazy thinking ill be back im sorry cause youre crying like a baby but do i look like your mommy take a look into that mirror if you wonder why you lost me gotta sit down and shut up you did it to yourself boy gonna diss me boy im so pissed boy gonna miss me boy you are dismissed cuz i dont fall for boys like you i dont fall for i dont fall for boys like you i dont fall for boy wanna date me boy outta date yeah boy wanna what no boy outta my way cuz i dont fall for boys like you i dont fall for i dont fall for boys like you i dont fall for you can raise your oice but know that you hae no choice dont care what you do you you can raise your oice but know that you hae no choice dont care what you do you so turn around walk away you made your bed so you gotta lay get outta my way boy gonna diss me boy im so pissed boy gonna miss me boy you are dismissed cuz i dont fall for boys like you i dont fall for cuz i dont fall for boys like you i dont fall for boy wanna date me boy outta date yeah boy wanna what no boy outta my way cuz i dont fall for boys like you i dont fall for cuz i dont fall for boys like you i dont fall for you can raise your oice but know that you hae no choice dont care what you do you you can raise your oice but know that you hae no choice dont care what you do you oh you
49,50,7,ICY,ITZY,hey hey hey yass whoo beep beep hey hey hey hey hey hey i see that im icy go rising up up i see that im icy what can i do though i seem cold i dont care what you think because im cool oh come on with confidence let it go here we go marching on the streets on a roll background music where i be bomb bomb bomb bomb icy but im on fire a dream inside me im confident look at me im not a liar i dont want to be put in your box dance eerybody blah blah talks a lot but i dont care yall can keep blah blah they keep talkin i keep walkin eerybody blah blah talks a lot but i dont care yall can keep blah blah they keep talkin i keep walkin ring ring ring ring it all day long eeryones busy looking for me this song is your faorite song i know well that it will end up like that hey this tastes just like thin ice bling bling bling it shines like starlights icy uhh shout out to my mama thank you to my papa i got all the good stuff from you tadadadadada with confidence let it go here we go marching on the streets on a roll background music where i be bomb bomb bomb bomb icy but im on fire a dream inside me im confident look at me im not a liar i dont want to be put in your box eerybody blah blah talks a lot but i dont care yall can keep blah blah they keep talkin i keep walkin eerybody blah blah talks a lot but i dont care yall can keep blah blah they keep talkin i keep walkin get it hey shake it hey yeah come on girls faster faster run faster dont care what they say i know the answer myself ye lia its ok dan dan dan dance up up up up up we go relentlessly up up we dont eer stop no one can stop us now blah blah talks a lot but i dont care yall can keep blah blah they keep talkin i keep walkin eerybody blah blah talks a lot but i dont care yall can keep blah blah they keep talkin i keep walkin yeah i see that im icy i see that im icy i see that im icy i see that im icy
